d,a_0,a_1,b_0,b_1,E00,E01,E10,E11
1,-1,0,-1,0,1,0,0,0
1,-1,0,0,-1,0,1,0,0
1,0,-1,-1,0,0,0,1,0
1,0,-1,0,-1,0,0,0,1
1,-1,0,0,1,0,-1,0,0
1,-1,0,1,0,-1,0,0,0
2,0,0,0,0,-1,-1,-1,1
2,0,0,0,0,-1,-1,1,-1
1,0,-1,0,1,0,0,0,-1
1,0,-1,1,0,0,0,-1,0
2,0,0,0,0,-1,1,-1,-1
2,0,0,0,0,1,-1,-1,-1
1,0,1,-1,0,0,0,-1,0
1,1,0,-1,0,-1,0,0,0
1,0,1,0,-1,0,0,0,-1
1,1,0,0,-1,0,-1,0,0
1,0,1,0,1,0,0,0,1
2,0,0,0,0,-1,1,1,1
1,0,1,1,0,0,0,1,0
2,0,0,0,0,1,-1,1,1
1,1,0,0,1,0,1,0,0
2,0,0,0,0,1,1,-1,1
1,1,0,1,0,1,0,0,0
2,0,0,0,0,1,1,1,-1
